"token","author","title","year","textClass"
"50098","","Nachrichten aus der Brüder-Gemeine, 1841, Nr. 5.","1841","Zeitung"
"49993","","Nachrichten aus der Brüder-Gemeine, 1829, Nr. 2.","1829","Zeitung"
"49832","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 5.","1844","Zeitung"
"49829","","Nachrichten aus der Brüder-Gemeine, 1846, Nr. 1.","1846","Zeitung"
"49629","","Nachrichten aus der Brüder-Gemeine, 1847, Nr. 2.","1847","Zeitung"
"49591","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 3.","1848","Zeitung"
"49380","","Nachrichten aus der Brüder-Gemeine, 1847, Nr. 4.","1847","Zeitung"
"49378","","Nachrichten aus der Brüder-Gemeine, 1841, Nr. 4.","1841","Zeitung"
"49338","","Nachrichten aus der Brüder-Gemeine, 1847, Nr. 3.","1847","Zeitung"
"49069","","Nachrichten aus der Brüder-Gemeine, 1846, Nr. 3.","1846","Zeitung"
"48898","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 2.","1844","Zeitung"
"48803","","Nachrichten aus der Brüder-Gemeine, 1845, Nr. 3.","1845","Zeitung"
"48664","","Nachrichten aus der Brüder-Gemeine, 1843, Nr. 3.","1843","Zeitung"
"48575","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 1.","1848","Zeitung"
"48560","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 4.","1848","Zeitung"
"48490","","Nachrichten aus der Brüder-Gemeine, 1835, Nr. 1.","1835","Zeitung"
"48266","","Nachrichten aus der Brüder-Gemeine, 1837, Nr. 3.","1837","Zeitung"
"48090","","Nachrichten aus der Brüder-Gemeine, 1836, Nr. 2.","1836","Zeitung"
"47990","","Nachrichten aus der Brüder-Gemeine, 1838, Nr. 1.","1838","Zeitung"
"47989","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 3.","1844","Zeitung"
"47848","","Nachrichten aus der Brüder-Gemeine, 1847, Nr. 1.","1847","Zeitung"
"47822","","Nachrichten aus der Brüder-Gemeine, 1845, Nr. 2.","1845","Zeitung"
"47785","","Nachrichten aus der Brüder-Gemeine, 1841, Nr. 6.","1841","Zeitung"
"47561","","Nachrichten aus der Brüder-Gemeine, 1835, Nr. 4.","1835","Zeitung"
"46920","","Nachrichten aus der Brüder-Gemeine, 1824, Nr. 2.","1824","Zeitung"
"46697","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 2.","1848","Zeitung"
"46683","","Nachrichten aus der Brüder-Gemeine, 1845, Nr. 4.","1845","Zeitung"
"46645","","Nachrichten aus der Brüder-Gemeine, 1840, Nr. 4.","1840","Zeitung"
"46517","","Nachrichten aus der Brüder-Gemeine, 1824, Nr. 3.","1824","Zeitung"
"46484","","Nachrichten aus der Brüder-Gemeine, 1845, Nr. 6.","1845","Zeitung"
"46465","","Nachrichten aus der Brüder-Gemeine, 1846, Nr. 4.","1846","Zeitung"
"46314","","Nachrichten aus der Brüder-Gemeine, 1846, Nr. 2.","1846","Zeitung"
"46118","","Nachrichten aus der Brüder-Gemeine, 1841, Nr. 1.","1841","Zeitung"
"46039","","Nachrichten aus der Brüder-Gemeine, 1832, Nr. 6.","1832","Zeitung"
"45721","","Nachrichten aus der Brüder-Gemeine, 1843, Nr. 6.","1843","Zeitung"
"45551","","Nachrichten aus der Brüder-Gemeine, 1836, Nr. 4.","1836","Zeitung"
"45540","","Nachrichten aus der Brüder-Gemeine, 1846, Nr. 5.","1846","Zeitung"
"45538","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 6.","1844","Zeitung"
"45285","","Nachrichten aus der Brüder-Gemeine, 1828, Nr. 6.","1828","Zeitung"
"45036","","Nachrichten aus der Brüder-Gemeine, 1839, Nr. 3.","1839","Zeitung"
"45032","","Nachrichten aus der Brüder-Gemeine, 1847, Nr. 6.","1847","Zeitung"
"44894","","Nachrichten aus der Brüder-Gemeine, 1842, Nr. 6.","1842","Zeitung"
"44862","","Nachrichten aus der Brüder-Gemeine, 1843, Nr. 2.","1843","Zeitung"
"44808","","Nachrichten aus der Brüder-Gemeine, 1835, Nr. 6.","1835","Zeitung"
"44471","","Nachrichten aus der Brüder-Gemeine, 1838, Nr. 3.","1838","Zeitung"
"44387","","Nachrichten aus der Brüder-Gemeine, 1821, Nr. 2.","1821","Zeitung"
"44346","","Nachrichten aus der Brüder-Gemeine, 1820, Nr. 4.","1820","Zeitung"
"44243","","Nachrichten aus der Brüder-Gemeine, 1830, Nr. 1.","1830","Zeitung"
"44214","","Nachrichten aus der Brüder-Gemeine, 1838, Nr. 4.","1838","Zeitung"
"44182","","Nachrichten aus der Brüder-Gemeine, 1820, Nr. 6.","1820","Zeitung"
"43893","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 5.","1848","Zeitung"
"43761","","Nachrichten aus der Brüder-Gemeine, 1837, Nr. 4.","1837","Zeitung"
"43677","","Nachrichten aus der Brüder-Gemeine, 1831, Nr. 5.","1831","Zeitung"
"43429","","Nachrichten aus der Brüder-Gemeine, 1822, Nr. 6.","1822","Zeitung"
"43295","","Nachrichten aus der Brüder-Gemeine, 1826, Nr. 4.","1826","Zeitung"
"43293","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 1.","1844","Zeitung"
"43049","","Nachrichten aus der Brüder-Gemeine, 1823, Nr. 3.","1823","Zeitung"
"42414","","Nachrichten aus der Brüder-Gemeine, 1848, Nr. 6.","1848","Zeitung"
"42237","","Nachrichten aus der Brüder-Gemeine, 1831, Nr. 3.","1831","Zeitung"
"42162","","Nachrichten aus der Brüder-Gemeine, 1832, Nr. 3.","1832","Zeitung"
"42090","","Nachrichten aus der Brüder-Gemeine, 1839, Nr. 2.","1839","Zeitung"
"41524","","Nachrichten aus der Brüder-Gemeine, 1824, Nr. 4.","1824","Zeitung"
"41452","","Nachrichten aus der Brüder-Gemeine, 1827, Nr. 5.","1827","Zeitung"
"41444","","Nachrichten aus der Brüder-Gemeine, 1839, Nr. 5.","1839","Zeitung"
"41351","","Nachrichten aus der Brüder-Gemeine, 1843, Nr. 1.","1843","Zeitung"
"41337","","Nachrichten aus der Brüder-Gemeine, 1825, Nr. 2.","1825","Zeitung"
"41014","","Nachrichten aus der Brüder-Gemeine, 1821, Nr. 1.","1821","Zeitung"
"41012","","Nachrichten aus der Brüder-Gemeine, 1825, Nr. 3.","1825","Zeitung"
"40909","","Nachrichten aus der Brüder-Gemeine, 1824, Nr. 5.","1824","Zeitung"
"40902","","Nachrichten aus der Brüder-Gemeine, 1835, Nr. 5.","1835","Zeitung"
"40713","","Nachrichten aus der Brüder-Gemeine, 1836, Nr. 1.","1836","Zeitung"
"40643","","Nachrichten aus der Brüder-Gemeine, 1831, Nr. 4.","1831","Zeitung"
"40621","","Nachrichten aus der Brüder-Gemeine, 1839, Nr. 4.","1839","Zeitung"
"40596","","Nachrichten aus der Brüder-Gemeine, 1828, Nr. 5.","1828","Zeitung"
"40442","","Nachrichten aus der Brüder-Gemeine, 1823, Nr. 1.","1823","Zeitung"
"40418","","Nachrichten aus der Brüder-Gemeine, 1819, Nr. 1.","1819","Zeitung"
"40418","","Nachrichten aus der Brüder-Gemeine, 1844, Nr. 4.","1844","Zeitung"
"40307","","Nachrichten aus der Brüder-Gemeine, 1830, Nr. 3.","1830","Zeitung"
"40291","","Nachrichten aus der Brüder-Gemeine, 1826, Nr. 6.","1826","Zeitung"
