"count","key1","key2","key3","key4"
"6998","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1920","Gebrauchsliteratur::Zeitschrift"
"6981","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1930","Gebrauchsliteratur::Zeitschrift"
"6920","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1921","Gebrauchsliteratur::Zeitschrift"
"6914","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1922","Gebrauchsliteratur::Zeitschrift"
"6862","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1903","Gebrauchsliteratur::Zeitschrift"
"6856","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1919","Gebrauchsliteratur::Zeitschrift"
"6785","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1929","Gebrauchsliteratur::Zeitschrift"
"6755","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1924","Gebrauchsliteratur::Zeitschrift"
"6660","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1918","Gebrauchsliteratur::Zeitschrift"
"6486","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1931","Gebrauchsliteratur::Zeitschrift"
"6286","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1901","Gebrauchsliteratur::Zeitschrift"
"5963","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1923","Gebrauchsliteratur::Zeitschrift"
"5397","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1902","Gebrauchsliteratur::Zeitschrift"
"3679","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1897","Gebrauchsliteratur::Zeitschrift"
"3078","Koch, Alexander (https://d-nb.info/gnd/118967029; ed.)","Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten","1932","Gebrauchsliteratur::Zeitschrift"
